"WEBADDR","UNITID","INSTNM","ADDR","CITY","STABBR","ZIP","FIPS","addr_recoded","latitude","longitude"
"regis.edu",127918,"Regis University","3333 Regis Blvd","Denver","CO","80221-1099",8,"3333 Regis Blvd, Denver, CO",39.7897111,-105.031369467175
"reinhardt.edu",140872,"Reinhardt University","7300 Reinhardt Circle","Waleska","GA","30183-2981",13,"7300 Reinhardt Circle, Waleska, GA",34.32177585,-84.549832192386
"rpi.edu",194824,"Rensselaer Polytechnic Institute","110 8th St","Troy","NY","12180-3590",36,"110 8th St, Troy, NY",42.7298969,-73.6796678199886
"researchcollege.edu",178989,"Research College of Nursing","2525 E. Meyer Boulevard","Kansas City","MO","64132",29,"2525 E. Meyer Boulevard, Kansas City, MO",39.006885244898,-94.557184877551
"resu.edu",NA,NA,NA,NA,NA,NA,NA,"NA, NA, NA",-0.7626471,-77.9701878
"ric.edu",217420,"Rhode Island College","600 Mount Pleasant Ave","Providence","RI","02908",44,"600 Mount Pleasant Ave, Providence, RI",41.84159615,-71.4628702077114
"risd.edu",217493,"Rhode Island School of Design","2 College St","Providence","RI","02903-2784",44,"2 College St, Providence, RI",41.826021,-71.407026
"rhodes.edu",221351,"Rhodes College","2000 North Parkway","Memphis","TN","38112-1690",47,"2000 North Parkway, Memphis, TN",35.1504872,-89.9928779705017
"rice.edu",227757,"Rice University","6100 S Main St","Houston","TX","77005-1827",48,"6100 S Main St, Houston, TX",29.6542361,-95.4465934
"richmond.ac.uk",NA,NA,NA,NA,NA,NA,NA,"NA, NA, NA",-0.7626471,-77.9701878
"rider.edu",186283,"Rider University","2083 Lawrenceville Road","Lawrenceville","NJ","08648-3099",34,"2083 Lawrenceville Road, Lawrenceville, NJ",40.3038128,-74.7243372
"rbs.lv",NA,NA,NA,NA,NA,NA,NA,"NA, NA, NA",-0.7626471,-77.9701878
"ringling.edu",136774,"Ringling College of Art and Design","2700 North Tamiami Trail","Sarasota","FL","34234-5895",12,"2700 North Tamiami Trail, Sarasota, FL",27.2103605,-82.4902225
"ripon.edu",239628,"Ripon College","300 West Seward Street","Ripon","WI","54971-0248",55,"300 West Seward Street, Ripon, WI",43.8429878,-88.842451
